,SIZE,SEXA,PPLVTG,MMLVTG,SZFFOUT,INCSELF,INCPEN,INCUEB,INCIRR,INCRENT,SZINCOMA,XNUMSISE,XNUMBROY,TP5LOC15,PPJBXX15,PPJBSZ15,MMJBTP15,XXLSTSCH,PPLSTSCH,DOLSTSCH,XSPSCH
233,4,1,1,1,0,1,1,1,1,1,2,0,1,3,2,6,2,3,2,1,1
234,1,2,1,1,0,0,1,1,1,1,3,0,1,1,2,0,2,2,2,2,2
235,3,2,1,3,0,0,1,1,1,1,4,1,0,2,2,4,1,3,2,1,2
236,2,1,1,1,0,1,1,1,1,1,0,1,0,2,2,5,2,3,2,3,2
237,3,2,1,1,0,1,1,1,1,1,1,1,0,2,2,6,2,3,3,1,2
238,3,1,1,1,0,0,1,1,1,1,4,0,2,2,2,2,2,2,0,1,2
239,4,1,1,1,0,1,1,1,1,1,2,0,0,3,2,3,1,3,2,3,2
240,2,2,3,3,0,1,0,1,1,1,3,0,1,1,2,5,1,2,1,1,2
241,2,2,3,3,0,1,0,1,1,1,3,1,0,3,2,0,1,1,1,1,2
242,3,2,3,3,1,1,0,1,1,1,0,1,1,3,2,2,4,2,0,1,2
243,2,2,3,3,0,1,0,1,1,1,2,1,0,2,2,3,4,2,1,1,1
244,3,1,3,3,0,1,0,1,1,1,3,1,3,3,2,6,1,2,0,1,2
246,4,2,3,2,1,1,0,1,1,1,0,5,0,4,2,2,3,2,1,1,2
247,4,2,3,3,1,1,0,1,1,1,2,0,4,3,2,2,4,2,1,1,2
249,4,1,3,3,0,0,0,1,1,1,3,4,0,4,2,1,4,2,0,1,2
252,3,2,3,3,0,0,0,1,1,1,4,0,1,2,2,1,4,2,1,1,2
254,2,2,3,3,0,1,0,1,1,1,3,0,1,2,2,3,1,2,3,1,2
256,4,1,3,1,1,1,0,1,1,1,1,1,1,3,2,6,1,2,1,1,1
258,3,1,3,1,0,0,1,1,1,1,5,0,1,2,2,6,1,3,2,1,2
260,2,2,2,2,2,0,1,1,1,1,3,0,3,3,2,2,4,3,1,1,1
263,2,1,3,1,0,0,0,1,1,0,3,0,0,2,2,2,4,3,0,1,2
264,2,2,3,3,0,0,1,1,1,1,4,3,0,2,2,2,4,2,1,1,2
268,4,1,3,3,0,0,1,1,1,1,3,0,0,3,2,2,3,2,2,1,2
269,3,2,3,2,0,0,1,1,1,1,3,1,0,2,2,6,1,2,2,1,2
270,4,1,3,3,0,0,0,1,1,1,3,2,0,3,2,2,3,2,1,1,2
271,4,2,3,2,0,0,1,1,1,1,2,0,1,2,2,2,4,2,2,1,2
272,4,1,3,2,2,0,1,1,1,1,3,1,0,4,2,0,4,2,1,1,2
274,2,1,3,2,0,0,1,1,1,1,5,0,0,2,2,6,3,2,2,1,2
276,3,2,2,2,1,0,1,1,1,1,2,2,0,2,2,2,1,2,1,1,2
277,3,2,3,3,0,0,1,1,1,1,4,1,0,2,2,2,2,3,2,1,2
278,2,1,2,2,0,0,1,1,1,1,4,0,0,2,2,2,1,2,2,1,1
280,4,2,2,2,0,0,1,1,1,1,2,0,1,2,2,1,4,2,2,1,2
281,2,1,2,2,0,0,1,1,1,1,5,0,0,3,2,4,2,3,0,1,1
283,2,2,3,1,0,0,0,1,1,1,3,0,0,2,0,0,4,2,0,1,2
287,3,2,3,3,1,0,1,1,1,1,0,2,0,2,2,2,1,2,2,1,2
288,3,1,3,1,0,1,0,1,1,1,0,1,0,2,2,0,0,2,0,1,1
289,4,1,2,2,0,0,1,1,1,1,4,1,0,3,2,2,2,2,2,1,2
290,3,1,3,3,0,0,1,1,1,1,3,0,0,2,2,1,4,2,2,1,2
292,3,1,1,1,0,0,1,1,1,1,4,1,0,2,2,3,3,3,2,1,2
293,3,2,2,2,0,1,1,1,1,1,1,0,0,2,2,2,4,2,2,1,2
295,3,1,2,2,0,0,1,1,1,1,3,0,0,2,2,2,2,2,2,1,2
296,2,2,1,1,0,0,1,1,1,1,3,0,1,2,2,2,3,3,2,1,2
298,2,1,1,1,0,0,1,1,1,1,3,0,1,2,2,2,4,0,0,1,0
299,3,2,1,1,0,0,1,1,1,1,3,1,0,2,2,3,2,2,2,1,2
300,2,2,2,1,0,0,1,1,1,1,3,0,0,3,2,2,4,2,2,1,2
302,2,1,2,2,0,0,1,1,1,1,3,2,1,2,2,2,4,2,2,1,2
303,3,2,1,1,0,0,1,1,1,1,3,0,1,2,2,6,3,3,3,1,2
304,4,2,1,1,1,0,0,1,1,1,0,0,2,3,2,3,3,3,2,1,2
305,4,2,2,2,0,0,1,1,1,1,3,0,1,4,2,2,1,2,2,1,2
306,2,1,1,1,0,0,1,1,1,1,4,0,1,2,2,6,1,3,2,1,2
307,4,2,3,3,0,1,0,1,1,1,2,0,3,4,2,2,4,1,1,1,2
308,4,2,3,3,0,1,0,1,1,1,3,1,0,4,2,2,4,1,0,1,2
310,3,2,3,3,0,1,0,1,1,1,2,0,5,4,2,0,4,1,1,1,2
311,3,2,3,3,0,1,0,1,1,1,2,1,3,4,2,2,4,1,1,1,2
313,3,2,3,3,0,1,0,1,1,1,2,1,3,4,2,2,4,2,0,1,2
320,4,1,3,3,0,1,0,1,1,1,3,1,2,4,2,2,4,2,2,1,2
321,3,1,3,3,0,0,0,1,1,1,3,0,2,4,2,3,4,2,0,1,2
324,4,1,1,1,0,0,0,1,1,1,4,0,0,4,2,2,1,2,1,1,2
325,3,1,3,3,1,0,0,1,1,1,5,2,0,4,2,2,1,2,1,1,2
327,2,1,3,3,0,1,1,1,1,1,1,1,0,2,2,6,1,2,2,1,2
328,3,1,2,1,1,0,0,1,1,1,3,1,3,4,2,2,4,2,2,1,0
329,3,1,1,3,0,0,1,1,1,1,3,1,0,4,2,2,4,2,1,1,2
333,3,2,3,2,0,0,1,1,1,1,2,0,0,4,2,2,4,2,1,1,2
334,3,2,3,2,2,0,1,0,1,1,4,0,1,4,2,1,3,2,1,1,1
338,2,1,3,1,1,0,0,1,1,1,5,0,0,2,2,1,1,3,2,1,2
339,4,2,3,2,0,0,0,1,1,1,2,0,0,4,2,3,1,3,2,1,2
340,2,1,1,1,0,0,1,1,1,1,2,0,0,2,2,2,4,2,2,1,1
341,3,1,3,1,0,0,0,1,1,1,2,2,0,4,2,2,4,2,2,1,1
342,3,2,1,1,0,0,1,1,1,1,2,1,0,4,2,2,1,2,2,1,2
344,4,1,3,3,0,0,1,1,1,1,4,0,0,4,2,2,4,3,2,1,2
345,3,1,1,1,0,1,1,1,1,1,1,0,0,3,2,2,4,2,2,1,1
347,4,1,1,1,0,0,1,1,1,1,4,0,0,4,2,4,3,3,2,1,2
348,3,2,3,3,0,1,0,1,1,1,0,2,0,2,2,2,4,2,2,1,2
351,3,1,3,3,0,1,1,1,1,1,2,2,2,2,2,0,1,2,1,1,2
352,1,2,3,3,0,1,0,1,1,1,3,0,0,2,2,0,1,1,0,1,2
353,1,1,3,3,0,1,0,1,1,1,3,3,0,4,2,3,4,1,1,1,2
355,3,1,3,3,0,1,0,1,1,1,0,1,2,2,2,0,0,1,1,1,2
357,3,2,3,3,0,1,0,1,1,1,3,1,1,3,2,6,1,2,1,1,2
359,3,1,3,3,0,1,0,1,1,1,2,3,1,3,2,1,1,1,1,1,2
360,1,1,3,3,0,0,1,1,1,1,3,2,0,4,2,1,0,1,0,1,2
361,4,2,3,3,0,1,0,1,1,1,2,0,0,3,2,2,4,2,1,1,2
362,1,2,3,3,0,1,0,1,1,1,2,1,0,4,2,0,4,1,0,1,2
365,1,2,3,3,0,1,0,1,1,1,2,1,0,4,2,0,1,2,0,1,2
368,3,1,3,3,0,1,0,1,1,1,4,4,0,2,0,0,4,2,1,1,2
369,4,2,3,3,0,1,0,1,1,1,2,1,3,2,2,6,1,2,0,1,2
370,3,1,3,3,0,0,0,1,1,1,4,3,0,2,2,2,4,2,0,1,2
371,3,1,3,3,0,1,0,1,1,1,2,1,0,3,2,2,4,2,1,1,2
372,1,2,3,3,0,1,0,1,1,1,0,3,0,4,0,0,4,2,0,1,1
376,3,1,3,3,0,1,0,1,1,1,3,3,1,3,2,0,4,2,0,1,1
383,4,1,3,3,0,0,0,1,1,1,2,0,1,1,2,2,4,3,2,1,2
384,1,2,3,3,0,0,1,1,1,1,0,0,1,2,2,0,4,2,1,1,2
385,1,2,3,3,0,0,0,1,1,1,4,1,1,2,2,0,1,2,1,1,2
386,1,2,3,3,0,1,0,1,1,1,2,1,1,3,2,0,4,2,0,1,2
387,3,1,3,1,0,0,0,1,1,1,4,0,0,4,2,6,1,2,1,1,2
388,3,2,3,2,0,1,0,1,1,1,2,1,0,3,2,0,4,3,0,1,1
390,4,2,3,3,0,1,1,1,1,1,1,1,0,3,2,2,4,2,1,1,2
392,4,2,3,3,0,0,0,1,1,1,2,0,2,2,2,4,1,3,0,1,2
400,4,1,3,1,1,0,1,1,1,1,5,1,1,3,2,2,4,3,2,1,2
402,4,1,3,1,0,0,1,1,1,1,0,0,1,3,2,2,4,2,2,1,2
403,4,1,2,2,0,0,1,1,1,1,5,1,1,4,2,2,4,3,0,1,2
405,1,2,3,3,0,1,1,1,1,1,0,1,0,3,2,0,1,2,0,1,2
407,3,2,3,2,1,1,1,1,1,1,1,0,0,2,0,0,3,2,3,1,1
408,3,2,3,2,1,1,1,1,1,1,0,0,0,3,2,2,4,2,0,1,2
415,3,2,3,1,0,0,1,1,1,1,2,1,0,2,2,2,4,2,1,1,1
416,1,1,3,3,1,0,1,1,1,1,4,1,0,3,2,1,4,3,1,1,1
419,4,1,3,1,0,0,1,1,1,1,2,1,0,3,1,5,1,3,1,1,2
422,3,2,2,3,1,0,1,1,1,1,0,1,0,3,2,2,4,2,1,1,2
423,1,2,2,2,0,1,1,1,1,1,0,1,0,3,2,0,2,2,0,1,2
424,3,2,3,2,0,0,1,1,1,1,2,0,1,2,2,1,4,3,2,1,1
431,3,2,2,2,0,0,1,1,1,1,0,0,1,3,2,2,2,2,2,1,2
434,3,2,3,2,0,0,1,1,1,1,2,0,1,3,2,3,3,2,2,1,2
435,1,2,2,2,0,1,1,1,1,1,1,1,1,2,2,0,4,3,0,1,2
436,3,1,1,1,0,0,1,1,1,1,4,0,0,3,2,2,2,2,2,1,2
439,4,2,2,2,0,0,1,1,1,1,3,1,0,3,2,2,4,2,2,1,2
440,3,1,2,2,0,0,1,1,1,1,0,1,0,3,2,6,3,3,3,1,2
441,1,2,2,2,0,1,1,1,1,1,1,0,1,3,2,3,2,2,2,1,2
443,4,1,1,1,0,0,1,1,1,1,3,1,0,3,2,4,2,2,2,1,1
445,3,2,2,2,0,1,1,1,1,1,1,1,0,3,2,0,3,2,2,1,2
447,3,1,2,2,0,0,1,1,1,1,0,1,0,2,2,2,0,2,2,1,2
448,3,2,2,1,0,0,1,1,1,1,0,2,0,2,0,0,3,2,0,1,2
449,1,1,2,2,0,0,1,1,1,1,4,1,1,2,2,6,0,2,3,1,2
451,1,2,2,2,0,0,1,1,1,1,4,0,0,2,2,3,1,2,2,1,2
452,4,2,1,1,0,0,1,1,1,1,3,0,0,3,2,3,2,2,2,1,2
454,1,1,2,2,0,0,1,1,1,1,4,1,1,1,2,0,0,3,0,1,2
455,4,1,1,1,0,0,1,1,1,1,3,0,0,3,2,0,2,2,2,1,2
456,1,2,1,1,0,1,1,1,1,1,2,0,0,3,2,0,0,3,2,1,2
457,3,2,1,1,0,0,1,1,1,1,0,0,1,3,2,5,2,2,2,1,1
458,1,2,3,1,0,0,1,1,1,1,3,0,0,3,2,0,2,3,0,1,2
460,3,1,3,3,0,0,1,1,1,1,4,0,0,3,2,0,4,2,0,1,2
461,3,1,1,1,0,0,1,1,1,1,3,0,0,2,2,2,2,2,2,1,2
462,2,2,3,3,0,1,0,1,1,1,2,1,1,3,2,6,1,2,2,1,2
463,3,2,3,3,1,1,0,1,1,1,2,1,0,4,2,2,4,1,0,1,2
464,3,2,3,3,0,1,0,1,1,1,2,0,0,4,2,2,4,1,0,1,2
465,3,1,3,3,0,1,0,1,1,1,3,4,2,4,2,2,4,1,0,1,2
469,2,1,3,3,0,1,0,1,1,1,4,0,0,4,2,1,4,2,1,1,2
470,3,2,3,3,0,1,0,1,1,1,3,0,2,2,2,5,1,3,1,1,1
471,2,1,3,3,0,0,0,1,1,1,4,0,2,3,2,1,4,2,1,1,2
472,3,1,3,2,0,0,0,1,1,1,4,0,1,1,2,6,4,3,3,1,2
473,2,2,3,3,0,1,0,1,1,1,2,2,3,2,2,2,4,2,1,1,2
475,2,2,3,3,1,0,0,1,1,1,2,5,0,2,0,0,1,2,1,1,1
476,3,2,3,3,0,0,0,1,1,1,3,1,1,4,2,2,4,2,1,1,2
478,3,1,3,3,0,0,0,1,1,1,4,1,0,3,2,1,4,2,1,1,2
480,2,2,3,3,0,0,0,1,1,1,4,2,1,3,2,2,4,2,2,1,2
482,2,1,3,3,1,0,0,1,1,0,4,0,0,2,2,3,4,2,1,1,2
485,2,2,3,1,0,0,1,1,1,1,3,0,0,1,2,2,1,2,1,1,2
487,3,1,3,3,0,0,1,1,1,1,3,1,1,4,2,5,1,2,1,2,2
488,3,2,3,2,0,1,1,1,1,1,1,0,1,2,2,1,1,2,1,1,2
490,3,2,3,3,0,0,1,1,1,1,5,2,0,3,2,1,4,2,1,1,2
492,3,1,3,3,0,0,1,1,1,1,4,0,0,3,2,1,2,2,1,1,2
493,3,2,2,2,0,0,1,1,1,1,3,1,1,4,2,2,4,2,0,1,2
496,2,1,2,2,0,0,1,1,1,1,3,0,0,2,2,3,1,2,2,1,1
501,3,2,1,3,0,1,1,1,1,1,1,0,0,4,2,1,4,2,2,1,2
503,3,2,1,1,1,0,1,1,1,1,3,0,0,3,2,2,2,3,2,1,2
504,2,2,2,3,0,1,1,1,1,1,1,1,0,2,2,2,2,2,2,1,1
505,2,2,1,1,0,0,0,1,1,1,3,0,0,2,2,0,1,3,2,1,2
506,3,2,1,1,0,0,1,1,1,1,3,1,0,3,2,3,1,2,2,1,2
507,2,1,1,1,1,1,1,1,1,1,4,0,0,3,2,4,3,2,2,1,2
508,3,1,1,1,0,0,1,1,1,1,3,0,2,4,2,6,3,2,2,1,2
509,2,2,1,1,1,0,1,1,1,1,3,0,0,2,2,0,3,2,2,1,2
511,3,2,3,3,0,1,0,1,1,1,2,0,1,4,2,2,4,2,1,1,2
513,3,2,3,3,0,0,1,1,1,1,0,0,0,2,2,1,4,2,2,1,2
514,2,1,3,3,1,1,0,1,1,1,3,0,1,2,2,4,0,1,1,1,2
516,4,1,3,3,0,1,0,1,1,1,2,1,1,4,2,2,4,1,0,1,2
517,3,1,3,3,0,1,0,1,1,1,2,2,3,3,2,2,4,1,1,1,2
518,2,2,3,3,0,0,1,1,1,0,4,5,0,3,2,1,4,2,1,1,2
519,4,2,3,3,0,1,1,1,1,1,1,2,1,3,2,1,4,2,1,1,2
520,3,2,3,3,0,1,0,1,1,1,3,2,1,4,2,2,4,2,0,2,2
521,4,2,3,3,0,1,0,1,1,1,2,0,1,4,2,0,4,2,1,1,2
523,3,2,3,3,0,1,0,1,1,1,2,0,3,3,2,2,4,2,1,1,2
524,3,1,3,3,0,0,0,1,1,1,0,0,1,1,2,2,4,2,1,1,2
526,4,2,3,3,0,1,0,1,1,1,2,2,0,4,2,2,4,2,0,1,2
528,3,1,3,3,0,1,0,1,1,1,3,0,1,4,2,2,1,2,1,1,2
529,3,2,3,3,0,1,0,1,1,1,3,0,1,4,2,0,1,2,1,2,2
530,3,1,3,3,0,0,0,1,1,1,4,0,0,4,0,0,4,2,0,1,2
531,3,2,3,2,0,0,1,1,1,1,0,1,0,3,2,1,4,2,0,1,2
533,4,2,3,3,0,1,0,1,1,1,2,0,4,4,2,1,4,2,0,1,2
537,3,1,3,3,0,0,0,1,1,1,3,1,0,4,2,1,4,2,1,1,2
539,3,1,2,2,0,0,1,1,1,1,5,1,0,2,2,2,1,3,1,1,2
541,2,1,3,3,0,0,1,1,1,1,0,0,1,2,2,6,4,2,2,1,2
546,3,1,3,3,0,0,1,1,1,1,2,0,0,2,0,0,3,3,0,1,2
548,3,2,3,2,0,1,1,1,1,1,0,0,2,2,2,2,4,2,1,1,2
550,3,1,3,1,0,0,1,1,1,1,4,1,0,3,2,1,1,3,1,1,2
551,3,1,1,1,0,0,1,1,1,1,4,0,0,2,2,2,3,2,1,1,2
553,4,1,1,1,0,0,1,1,1,1,4,0,1,3,2,2,2,2,0,1,2
558,3,2,1,1,2,0,1,1,1,1,3,0,1,2,2,2,4,2,2,1,2
559,2,1,3,3,0,0,1,1,1,1,0,0,0,2,2,3,3,2,2,1,2
